"id","created_time","ad_id","ad_name","adset_id","adset_name","campaign_id","campaign_name","form_id","form_name","is_organic","platform","full_name","phone_number","email","job_title","company_name","city"
"10000","2026-07-09T03:44:00+0000","2340","Promo_2","123","Adset_1","456","Campaign_1","789","Lead Gen","false","fb","Rahul Wilson","+1-555-86743","rahul@yahoo.com","Manager","Builder Bros","New York"
"10001","2026-07-03T23:49:00+0000","2307","Promo_5","123","Adset_1","456","Campaign_2","789","Lead Gen","false","ig","Arjun Williams","","","Manager","Acme Corp","Seattle"
"10002","2026-07-20T23:57:00+0000","2331","Promo_5","123","Adset_3","456","Campaign_1","789","Lead Gen","false","ig","Heidi Smith","+1-555-25838","heidi@yahoo.com","Manager","Silent Era Ltd","San Francisco"
"10003","2026-10-28T20:32:00+0000","2333","Promo_1","123","Adset_3","456","Campaign_1","789","Lead Gen","false","ig","Diana Moore","+1-555-74697","diana@yahoo.com","Manager","Tech Corp","Mumbai"
"10004","2026-01-26T18:58:00+0000","2304","Promo_2","123","Adset_1","456","Campaign_1","789","Lead Gen","false","ig","Eve Kumar","+1-555-97340","eve@example.com","Manager","Stark Industries","Austin"
"10005","2026-05-05T14:48:00+0000","2324","Promo_1","123","Adset_1","456","Campaign_2","789","Lead Gen","false","ig","Peggy Johnson","+1-555-28976","peggy@example.com","Manager","Tech Corp","Pune"
"10006","2026-09-12T23:34:00+0000","2325","Promo_1","123","Adset_1","456","Campaign_2","789","Lead Gen","false","ig","Judy Sharma","+1-555-16323","judy@example.com","Manager","Global Tech","Seattle"
"10007","2026-06-01T08:47:00+0000","2335","Promo_5","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Heidi Sharma","+1-555-17961","heidi@yahoo.com","Manager","Builder Bros","Delhi"
"10008","2026-06-17T02:59:00+0000","2330","Promo_1","123","Adset_1","456","Campaign_2","789","Lead Gen","false","fb","Ivan Kumar","","","Manager","Cyberdyne","New York"
"10009","2026-06-08T21:49:00+0000","2341","Promo_5","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Victor Wilson","+1-555-35156","victor@gmail.com","Manager","LexCorp","Austin"
"10010","2026-03-11T08:05:00+0000","2322","Promo_4","123","Adset_1","456","Campaign_2","789","Lead Gen","false","ig","Trent Smith","+1-555-99641","trent@example.com","Manager","Wayne Ent","Chicago"
"10011","2026-10-19T20:37:00+0000","2329","Promo_1","123","Adset_1","456","Campaign_2","789","Lead Gen","false","fb","Mallory Gupta","+1-555-10640","mallory@gmail.com","Manager","LexCorp","Boston"
"10012","2026-01-21T21:35:00+0000","2313","Promo_3","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Priya Jones","","","Manager","Acme Corp","Pune"
"10013","2026-12-03T14:29:00+0000","2303","Promo_1","123","Adset_3","456","Campaign_2","789","Lead Gen","false","fb","Ivan Smith","","","Manager","Umbrella Corp","Chicago"
"10014","2026-02-14T19:16:00+0000","2333","Promo_2","123","Adset_3","456","Campaign_1","789","Lead Gen","false","fb","Peggy Williams","+1-555-74822","peggy@example.com","Manager","Umbrella Corp","Chicago"
"10015","2026-10-05T23:23:00+0000","2321","Promo_2","123","Adset_2","456","Campaign_2","789","Lead Gen","false","ig","Priya Davis","+1-555-31034","priya@example.com","Manager","Builder Bros","Pune"
"10016","2026-02-09T08:28:00+0000","2328","Promo_2","123","Adset_2","456","Campaign_2","789","Lead Gen","false","fb","Grace Moore","+1-555-58385","grace@gmail.com","Manager","Builder Bros","Delhi"
"10017","2026-12-24T14:37:00+0000","2347","Promo_4","123","Adset_2","456","Campaign_2","789","Lead Gen","false","fb","Trent Williams","+1-555-31789","trent@gmail.com","Manager","Builder Bros","London"
"10018","2026-03-26T12:53:00+0000","2344","Promo_4","123","Adset_2","456","Campaign_2","789","Lead Gen","false","fb","Vikram Patel","+1-555-20280","vikram@yahoo.com","Manager","Wayne Ent","Delhi"
"10019","2026-07-09T10:27:00+0000","2311","Promo_4","123","Adset_3","456","Campaign_1","789","Lead Gen","false","fb","Arjun Miller","+1-555-53265","arjun@example.com","Manager","Global Tech","San Francisco"
"10020","2026-03-18T18:07:00+0000","2346","Promo_4","123","Adset_2","456","Campaign_2","789","Lead Gen","false","ig","Bob Brown","+1-555-14259","bob@yahoo.com","Manager","Builder Bros","Austin"
"10021","2026-03-13T03:42:00+0000","2338","Promo_2","123","Adset_3","456","Campaign_2","789","Lead Gen","false","fb","Alice Smith","+1-555-90181","alice@gmail.com","Manager","LexCorp","Mumbai"
"10022","2026-05-12T17:24:00+0000","2301","Promo_2","123","Adset_1","456","Campaign_1","789","Lead Gen","false","fb","Eve Patel","","","Manager","Silent Era Ltd","Pune"
"10023","2026-12-06T21:06:00+0000","2303","Promo_3","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Charlie Johnson","+1-555-51182","charlie@example.com","Manager","Wayne Ent","Seattle"
"10024","2026-08-28T17:42:00+0000","2337","Promo_1","123","Adset_1","456","Campaign_2","789","Lead Gen","false","fb","Charlie Taylor","+1-555-62474","charlie@example.com","Manager","Global Tech","New York"
"10025","2026-10-20T14:38:00+0000","2312","Promo_1","123","Adset_1","456","Campaign_2","789","Lead Gen","false","fb","Charlie Davis","+1-555-85486","charlie@example.com","Manager","Tech Corp","San Francisco"
"10026","2026-09-07T10:10:00+0000","2344","Promo_1","123","Adset_3","456","Campaign_1","789","Lead Gen","false","ig","Grace Davis","+1-555-62730","grace@example.com","Manager","Wayne Ent","Austin"
"10027","2026-05-11T07:56:00+0000","2309","Promo_2","123","Adset_1","456","Campaign_2","789","Lead Gen","false","fb","Frank Moore","","","Manager","Wayne Ent","London"
"10028","2026-02-03T12:43:00+0000","2305","Promo_5","123","Adset_3","456","Campaign_2","789","Lead Gen","false","ig","Heidi Kumar","+1-555-80731","heidi@gmail.com","Manager","LexCorp","San Francisco"
"10029","2026-01-04T09:13:00+0000","2336","Promo_5","123","Adset_3","456","Campaign_2","789","Lead Gen","false","ig","Grace Jones","+1-555-72735","grace@example.com","Manager","Global Tech","San Francisco"
"10030","2026-04-04T03:15:00+0000","2305","Promo_3","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Anjali Johnson","+1-555-91378","anjali@example.com","Manager","LexCorp","Chicago"
"10031","2026-04-21T01:29:00+0000","2320","Promo_1","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Anjali Gupta","+1-555-28926","anjali@example.com","Manager","Acme Corp","Chicago"
"10032","2026-10-15T22:38:00+0000","2345","Promo_4","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Bob Wilson","+1-555-37084","bob@yahoo.com","Manager","Cyberdyne","Delhi"
"10033","2026-03-22T17:09:00+0000","2311","Promo_1","123","Adset_3","456","Campaign_1","789","Lead Gen","false","ig","Judy Williams","+1-555-68273","judy@yahoo.com","Manager","Silent Era Ltd","Austin"
"10034","2026-07-09T17:22:00+0000","2321","Promo_2","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Eve Johnson","+1-555-87373","eve@gmail.com","Manager","Silent Era Ltd","New York"
"10035","2026-09-28T17:10:00+0000","2333","Promo_2","123","Adset_2","456","Campaign_2","789","Lead Gen","false","fb","Victor Sharma","+1-555-24884","victor@example.com","Manager","Builder Bros","Mumbai"
"10036","2026-08-14T12:37:00+0000","2349","Promo_1","123","Adset_2","456","Campaign_2","789","Lead Gen","false","fb","Heidi Jones","+1-555-30752","heidi@yahoo.com","Manager","Global Tech","Bangalore"
"10037","2026-06-04T06:44:00+0000","2333","Promo_4","123","Adset_2","456","Campaign_1","789","Lead Gen","false","ig","Arjun Gupta","+1-555-62862","arjun@gmail.com","Manager","Tech Corp","San Francisco"
"10038","2026-10-28T01:32:00+0000","2344","Promo_1","123","Adset_2","456","Campaign_1","789","Lead Gen","false","ig","Charlie Williams","+1-555-73497","charlie@yahoo.com","Manager","Stark Industries","Boston"
"10039","2026-05-28T12:08:00+0000","2330","Promo_5","123","Adset_3","456","Campaign_2","789","Lead Gen","false","ig","Heidi Sharma","+1-555-19854","heidi@gmail.com","Manager","Acme Corp","Pune"
"10040","2026-03-04T02:36:00+0000","2346","Promo_4","123","Adset_1","456","Campaign_1","789","Lead Gen","false","ig","Bob Moore","+1-555-72981","bob@example.com","Manager","Global Tech","London"
"10041","2026-09-17T09:55:00+0000","2303","Promo_4","123","Adset_3","456","Campaign_2","789","Lead Gen","false","fb","Diana Patel","+1-555-96388","diana@gmail.com","Manager","Wayne Ent","Seattle"
"10042","2026-07-24T01:02:00+0000","2322","Promo_3","123","Adset_1","456","Campaign_1","789","Lead Gen","false","ig","Eve Davis","+1-555-15447","eve@yahoo.com","Manager","Acme Corp","Boston"
"10043","2026-08-13T17:31:00+0000","2319","Promo_4","123","Adset_3","456","Campaign_2","789","Lead Gen","false","fb","Mallory Jones","","","Manager","Acme Corp","San Francisco"
"10044","2026-03-11T05:20:00+0000","2333","Promo_2","123","Adset_1","456","Campaign_2","789","Lead Gen","false","ig","Mallory Williams","+1-555-68982","mallory@gmail.com","Manager","Umbrella Corp","Mumbai"
"10045","2026-04-01T18:53:00+0000","2320","Promo_5","123","Adset_2","456","Campaign_1","789","Lead Gen","false","ig","Anjali Williams","+1-555-85697","anjali@gmail.com","Manager","LexCorp","Austin"
"10046","2026-11-27T06:12:00+0000","2305","Promo_4","123","Adset_1","456","Campaign_1","789","Lead Gen","false","fb","Anjali Johnson","+1-555-90815","anjali@gmail.com","Manager","Wayne Ent","Seattle"
"10047","2026-07-28T23:17:00+0000","2327","Promo_4","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Grace Sharma","+1-555-55521","grace@gmail.com","Manager","Umbrella Corp","Seattle"
"10048","2026-02-11T03:03:00+0000","2322","Promo_2","123","Adset_3","456","Campaign_1","789","Lead Gen","false","ig","Diana Gupta","+1-555-70521","diana@gmail.com","Manager","Umbrella Corp","Mumbai"
"10049","2026-01-22T09:15:00+0000","2331","Promo_5","123","Adset_2","456","Campaign_2","789","Lead Gen","false","ig","Heidi Patel","+1-555-28673","heidi@gmail.com","Manager","Acme Corp","Delhi"
"10050","2026-02-14T08:21:00+0000","2325","Promo_3","123","Adset_3","456","Campaign_1","789","Lead Gen","false","fb","Alice Singh","+1-555-98617","alice@gmail.com","Manager","Tech Corp","San Francisco"
"10051","2026-01-24T05:49:00+0000","2329","Promo_5","123","Adset_3","456","Campaign_2","789","Lead Gen","false","fb","Ivan Miller","+1-555-68215","ivan@yahoo.com","Manager","Wayne Ent","Chicago"
"10052","2026-04-10T21:48:00+0000","2320","Promo_3","123","Adset_3","456","Campaign_1","789","Lead Gen","false","fb","Charlie Davis","+1-555-30573","charlie@gmail.com","Manager","Stark Industries","Boston"
"10053","2026-11-04T22:11:00+0000","2328","Promo_2","123","Adset_1","456","Campaign_1","789","Lead Gen","false","fb","Grace Davis","","","Manager","Wayne Ent","London"
"10054","2026-03-06T04:13:00+0000","2349","Promo_1","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Victor Smith","+1-555-38254","victor@example.com","Manager","Wayne Ent","Mumbai"
"10055","2026-03-04T13:44:00+0000","2317","Promo_2","123","Adset_1","456","Campaign_1","789","Lead Gen","false","ig","Ivan Johnson","+1-555-19465","ivan@yahoo.com","Manager","Cyberdyne","San Francisco"
"10056","2026-03-19T01:45:00+0000","2304","Promo_2","123","Adset_2","456","Campaign_1","789","Lead Gen","false","fb","Judy Johnson","+1-555-36358","judy@yahoo.com","Manager","Umbrella Corp","Boston"
"10057","2026-12-16T03:28:00+0000","2333","Promo_4","123","Adset_3","456","Campaign_2","789","Lead Gen","false","fb","Judy Williams","+1-555-14527","judy@yahoo.com","Manager","Silent Era Ltd","New York"
"10058","2026-11-26T01:15:00+0000","2350","Promo_4","123","Adset_3","456","Campaign_1","789","Lead Gen","false","ig","Judy Patel","+1-555-21225","judy@yahoo.com","Manager","Silent Era Ltd","Mumbai"
"10059","2026-02-11T16:38:00+0000","2320","Promo_4","123","Adset_1","456","Campaign_1","789","Lead Gen","false","fb","Bob Wilson","+1-555-51870","bob@yahoo.com","Manager","Umbrella Corp","Seattle"
