"Lead Entry Date","Prospect Name","Primary Email","Secondary Email","Mobile 1","Mobile 2","Property Interested In","Possession Needed By","Lead Quality","Notes/Remarks","Assigned Agent"
"06/21/2026","Heidi Johnson","heidi.johnson@realmail.com","","91-987652636","","","","Warm","Payment received","agent@groweasy.ai"
"06/19/2026","Mallory Taylor","mallory.taylor@realmail.com","","91-987652116","","meridian_tower","Immediate","Hot","Send more details via email","agent@groweasy.ai"
"06/05/2026","Bob Patel","bob.patel@realmail.com","","91-987657796","","sarjapur_plots","","Cold","Payment received","agent@groweasy.ai"
"06/25/2026","Alice Patel","alice.patel@realmail.com","","91-987656323","91-998878071","meridian_tower","Immediate","Hot","Called twice, didn't pick up","agent@groweasy.ai"
"06/08/2026","Diana Miller","diana.miller@realmail.com","","91-987655578","","sarjapur_plots","End of 2026","Hot","Called twice, didn't pick up","agent@groweasy.ai"
"06/06/2026","Victor Taylor","victor.taylor@realmail.com","","91-987659163","91-998877522","","End of 2026","","Client wants a sea-facing apartment","agent@groweasy.ai"
"06/18/2026","Victor Davis","victor.davis@realmail.com","","91-987653796","91-998872358","","End of 2026","Warm","Client wants a sea-facing apartment","agent@groweasy.ai"
"06/21/2026","Diana Wilson","diana.wilson@realmail.com","","91-987657165","","sarjapur_plots","End of 2026","Warm","Need to schedule a follow up call","agent@groweasy.ai"
"06/03/2026","Diana Johnson","diana.johnson@realmail.com","","91-987658144","","eden_park","Q1 2027","Hot","Payment received","agent@groweasy.ai"
"06/01/2026","Vikram Davis","vikram.davis@realmail.com","","91-987653164","91-998871383","","Immediate","Warm","Payment received","agent@groweasy.ai"
"06/12/2026","Vikram Taylor","vikram.taylor@realmail.com","","91-987657188","","varah_swamy","","Cold","Not interested anymore","agent@groweasy.ai"
"06/07/2026","Victor Gupta","victor.gupta@realmail.com","","91-987654667","","","Q1 2027","","Not interested anymore","agent@groweasy.ai"
"06/23/2026","Eve Smith","eve.smith@realmail.com","","91-987656377","91-998875996","","","","","agent@groweasy.ai"
"06/04/2026","Judy Moore","judy.moore@realmail.com","","91-987654420","91-998875058","","End of 2026","Warm","Not interested anymore","agent@groweasy.ai"
"06/23/2026","Peggy Kumar","peggy.kumar@realmail.com","","91-987659242","91-998878096","leads_on_demand","","Hot","Payment received","agent@groweasy.ai"
